Stratum,Name,Area Km2,,source
1,Subtropical,18226,,https://www.pwrc.usgs.gov/bbs/StrataNames/index.html
2,Floridian,63636,,
3,Coastal Flatwoods,157110,,
4,Upper Coastal Plain,513884,,
5,Mississippi Alluvial Plain,109126,,
6,Coastal Prairies,73804,,
7,South Texas Brushlands,86369,,
8,East Texas Prairies,105115,,
9,Glaciated Coastal Plains,5825,,
10,Northern Piedmont,32820,,
11,Southern Piedmont,169837,,
12,Southern New England,37809,,
13,Ridge and Valley,144262,,
14,Highland Rim,120800,,
15,Lexington Plain,54468,,
16,Great Lakes Plain,181176,,
17,Driftless Area,59773,,
18,St. Lawrence River Plain,99163,,
19,Ozark/Ouachita Plateau,158213,,
20,Great Lakes Transition,108992,,
21,Cumberland Plateau,52889,,
22,Ohio Hills,76926,,
23,Blue Ridge Mountains,40059,,
24,Allegheny Plateau,133238,,
25,Open Boreal Forest,169844,,
26,Adirondack Mountains,24872,,
27,Northern New England,52412,,
28,Northern Spruce/Hardwoods,609324,,
29,Closed Boreal Forest,1025965,,
30,Aspen Parklands,358734,,
31,Till Plains,201004,,
32,Dissected Till Plains,228855,,
33,Osage Plain/Cross Timbers,154162,,
34,High Plains Border,166823,,
35,Rolling Red Prairies,90164,,
36,High Plains,236133,,
37,Drift Prairie,247060,,
38,Glaciated Missouri Plateau,275586,,
39,Great Plains Roughlands,369965,,
40,Black Prairie,147060,,
53,Edward's Plateau,78516,,
54,Rolling Red Plains,114084,,
55,Staked Plains,129818,,
56,Chihuahuan Desert,163419,,
61,Black Hills,14751,,
62,Southern Rockies,133649,,
63,Fraser Plateau,116550,,
64,Central Rockies,423978,,
65,Dissected Rockies,177208,,
66,Sierra Nevada,56957,,
67,Cascade Mountains,54750,,
68,Northern Rockies,697047,,
80,Great Basin Deserts,152983,,
81,Mexican Highlands,74592,,
82,Sonoran Deserts,109878,,
83,Mojave Desert,86597,,
84,Pinyon/Juniper Woodlands,195587,,
85,Pitt-Klamath Plateau,69199,,
86,Wyoming Basin,122850,,
87,Intermountain Grasslands,318697,,
88,Basin and Range,212123,,
89,Columbia Plateau,238601,,
90,Southern California Grasslands,35398,,
91,Central Valley,55991,,
92,California Foothills,79642,,
93,Southern Pacific Rainforests,134742,,
94,Northern Pacific Rainforests,138246,,
95,Los Angeles Ranges,5470,,
96,Southern Alaska Coast,NA,,
98,Willamette Lowlands,12934,,
99,Tundra,NA,,
